Data,Kadar Air ,Tak Larut,Kalsium,Magnesium,Sulfat ,NaCl (wb),NaCl (db),Grade
0,7.82778864970647,0.0423309159451775,0.240279899651045,0.80734046282751,1.34722621505482,83.9156015412706,91.0421919057098,K1
1,8.10810810810811,0.590494124043745,0.216902498704564,0.954370994300079,1.18317593192609,85.0119583913569,92.5130135435354,K1
2,8.78378378378378,0.0293831928137104,0.20077049261156,0.950313665028048,1.11295862559209,84.3214497834579,92.441293095939,K1
3,7.34375000000001,0.082161548395351,0.241597556289694,0.711614620344188,0.802739747140666,87.9901638193565,94.9640891136395,K1
4,3.23809523809524,0.483501196260711,0.366320635001716,0.329688571501545,1.41725219522996,91.9549891839303,95.0322230739437,K1
5,7.85854616895873,0.311640367016463,0.336664813254687,0.706996107834842,1.88372084891221,86.0038233506134,93.3389042333949,K1
6,5.73012939001849,0.139055938048182,0.282087783666765,0.535966788966854,1.3991556007584,92.572317787139,98.1992625938083,K1
7,9.73282442748091,0.0279656023091598,0.270330664529985,0.689343194551463,1.32110788280098,84.1097230680348,93.1786361261105,K1
8,6.28571428571429,0.338801676239761,0.130123859800178,0.48145828126066,1.18809581669017,91.4611797901396,97.5957711175271,K1
9,9.37,0.0283341514320719,0.201715919254299,1.07581823602293,1.15353971876696,83.9469473103477,92.6260038732734,K1
10,3.23809523809524,0.483501196260711,0.366320635001716,0.329688571501545,1.41725219522996,91.9549891839303,95.0322230739437,K1
11,3.23809523809524,0.483501196260711,0.366320635001716,0.329688571501545,1.41725219522996,91.9549891839303,95.0322230739437,K1
12,9.73282442748091,0.0279656023091598,0.270330664529985,0.689343194551463,1.32110788280098,84.1097230680348,93.1786361261105,K1
13,5.73012939001849,0.139055938048182,0.282087783666765,0.535966788966854,1.3991556007584,92.572317787139,98.1992625938083,K1
14,5.73012939001849,0.139055938048182,0.282087783666765,0.535966788966854,1.3991556007584,92.572317787139,98.1992625938083,K1
15,5.93869731800766,0.261604976485507,0.282579470260308,0.720577649163786,1.59601752530868,88.6672353706408,94.2653703940418,K1
16,9.73282442748091,0.0279656023091598,0.270330664529985,0.689343194551463,1.32110788280098,84.1097230680348,93.1786361261105,K1
17,5.93869731800766,0.261604976485507,0.282579470260308,0.720577649163786,1.59601752530868,88.6672353706408,94.2653703940418,K1
18,9.28030303030304,0.279241390889975,0.317702616789595,0.102642383885869,1.39791120964795,84.6480787167489,93.3072767483161,K1
19,7.8544061302682,0.415753480761662,0.286932915130231,1.17863212830418,1.87263215630737,84.9045087116796,92.1416913669371,K1
20,7.8544061302682,0.415753480761662,0.286932915130231,1.17863212830418,1.87263215630737,84.9045087116796,92.1416913669371,K1
21,6.56370656370656,0.406473195550777,0.239500169136741,0.561736760338903,1.76759731258713,87.4010285277026,93.5407702011363,K1
22,7.82778864970647,0.0423309159451775,0.240279899651045,0.80734046282751,1.34722621505482,83.9156015412706,91.0421919057098,K1
23,9.28030303030304,0.279241390889975,0.317702616789595,0.102642383885869,1.39791120964795,84.6480787167489,93.3072767483161,K1
24,6.56370656370656,0.406473195550777,0.239500169136741,0.561736760338903,1.76759731258713,87.4010285277026,93.5407702011363,K1
25,8.51851851851852,0.0127788892749178,0.222191643857788,0.653243432941898,0.844426901495571,86.8535503298032,94.941127890878,K2
26,3.96975425330813,0.382767277495283,0.402586644642892,0.39411113633462,1.1128109706936,89.8922472689024,93.6082653646641,K2
27,7.98816568047337,0.136238149078894,0.287317316545629,0.716083158159875,0.84620368674041,87.6112216671325,95.2173405900025,K2
28,12.7906976744186,0.139744102359056,0.21003118752499,1.02215177928829,1.4341393469279,81.2640139498538,93.1827359958324,K2
29,6.4030131826742,0.440594682877779,0.47379604777643,0.54012749446513,1.29178324474236,87.6379749562064,93.6333293797698,K2
30,5.87121212121213,0.211921535102875,0.541328286468315,0.903782878277535,1.11527611463004,88.1819848168986,93.6822695841498,K2
31,4.66417910447761,0.175555057905176,0.418726907113904,0.530387415677611,1.47868050060985,89.2900866678465,93.6584862112832,K2
32,8.49056603773585,0.181190543731446,0.242135248746215,0.813574435787281,1.2767642477461,85.0347647977328,92.9245883356668,K2
33,8.74524714828897,0.202144489365442,0.311962013348461,0.481312820594768,1.22793681303499,84.419479056532,92.509679132783,K2
34,7.75193798449613,0.589051904081816,0.264515158186079,0.846448506195451,1.0886023679339,85.2004987712474,92.3602045503438,K2
35,11.3243761996161,0.529716665501503,0.275166074724644,0.797981616701468,1.3229520406122,84.5320558393532,95.327275091565,K2
36,5.87121212121213,0.432821677468883,0.281073413045576,0.557822619736604,1.11628167939276,91.0383796791027,96.7168299206564,K2
37,7.38461538461539,0,0.285391354652145,0.553220164402619,0.781951566206363,87.6808475207075,94.6720114426244,K2
38,10.2514506769826,0.00639432184220431,0.271985718061672,1.68631145198236,1.49964114792788,81.1675323774733,90.4388237912795,K2
39,5.87121212121213,0.432821677468883,0.281073413045576,0.557822619736604,1.11628167939276,91.0383796791027,96.7168299206564,K2
40,7.98479087452471,0.323445393102097,0.361451255963168,1.05543766741245,2.48666960944734,79.2994272541565,86.1807825117486,K2
41,7.00757575757576,0.516236702313483,0.349655648466276,0.668716427691752,1.24181785675912,86.5922536148732,93.1175354555052,K2
42,9.89,0.0438109121033619,0.247472580852416,1.13387437045107,1.12560521051711,82.6754597520266,91.7494836888542,K2
43,5.67514677103718,0.364020174034027,0.517139479500999,0.451321727564508,1.83871423549961,85.7645325778026,90.9246393096621,K2
44,6.45724258289703,0.138172016173314,0.217295939312075,0.6910010870124,0.879850831985433,89.0910389596625,95.2409800818781,K2
45,4.6875,0.452311425310652,0.348490715930128,0.460007745027768,1.46639437088318,89.2226576557116,93.6106572125499,K2
46,4.6875,0.452311425310652,0.348490715930128,0.460007745027768,1.46639437088318,89.2226576557116,93.6106572125499,K2
47,3.40909090909092,0.237407328279026,0.298067763426296,0.467737105684341,1.8794292912464,91.7558251284935,94.9942660153815,K2
48,4.35606060606061,0.542842809431394,0.370811351741124,0.695271284514607,1.26561437093205,89.3699447656489,93.4402590817082,K2
49,4.35606060606061,0.542842809431394,0.370811351741124,0.695271284514607,1.26561437093205,89.3699447656489,93.4402590817082,K2
50,4.98084291187739,0.439901746615794,0.326728525139613,0.616116647406127,1.20465293700226,88.1304992475973,92.7502431597698,K2
51,6.06653620352252,0.35451213614545,0.173258647311716,0.376837557902983,1.88344016483615,91.3523942505513,97.2522363792327,K2
52,4.22264875239923,0.482097242931439,0.127465763124005,0.305917831497611,1.12946957767436,89.8335758603923,93.7941743953194,K3
53,11.71875,0.0939423194158787,0.460970061727232,1.00952443518264,1.22539177935898,79.9100601620765,90.5175902720867,K3
54,11.71875,0.0939423194158787,0.460970061727232,1.00952443518264,1.22539177935898,79.9100601620765,90.5175902720867,K3
55,4.22264875239923,0.482097242931439,0.127465763124005,0.305917831497611,1.12946957767436,89.8335758603923,93.7941743953194,K3
56,11.3673805601318,0.198741959445577,0.340358843312895,0.884932992613527,1.02472053163206,80.2014677019285,90.4875295447409,K3
57,11.1753371868979,0.257478470162084,0.504036454880065,0.769801131089553,0.934623977569355,83.2227399633553,93.693279915361,K3
58,10.077519379845,0.460202656951277,0.316573225883837,0.529129534691557,1.18254877875414,84.9043974133764,94.4195453993583,K3
59,9.9047619047619,0.628242776805125,0.315794627648936,0.920315772005471,1.26901395304268,83.2236465642107,92.3729692308893,K3
60,6.48854961832061,0.506468318237258,0.54547616793589,0.355745326914711,1.92818607047882,87.2340595158719,93.2870350741161,K3
61,3.23809523809524,0.483501196260711,0.366320635001716,0.329688571501545,1.41725219522996,91.9549891839303,95.0322230739437,K4
62,0.6479,1.25928691655402,0.601844390886769,0.160491837569805,1.72293281174466,89.6856999263875,90.2705629034389,K4
63,5.62015503875969,1.49282082351083,0.704948414501954,0.380672143831055,1.58260061985324,87.2064516738748,92.3994436626682,K4
64,5.44747081712061,0.728397724730771,0.408564892896675,0.374159428231691,1.36102781773925,90.297643113406,95.4999764615034,K4
65,5.1526717557252,1.15968438362296,0.537416236872645,0.266371526102094,1.42065299749046,87.5794891297677,92.3373285794734,K4
66,2.79329608938548,0.0327534900441373,0.341825470926522,0.177749244881792,1.42274429677674,90.1957326343193,92.7875640318572,K4
